id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
118118,Rental unit in Bangkok · ★5.0 · 1 bedroom · 1 bed,596463,Dustin,,Khlong Toei,13.70441,100.59968,Entire home/apt,1761,2,3,2013-10-09,0.02,1,0,0,
608624,Home in Krung Thep Maha Nakhon · ★4.67 · 1 bedroom · 1 bed · 1.5 baths,2940438,Kinifrog,,Thon buri,13.71699,100.4783,Entire home/apt,1700,28,3,2023-06-26,0.53,19,364,3,
121410,Serviced apartment in Bang Kapi · 1 bedroom · 2 beds · 1 bath,610315,Kasem,,Bang Kapi,13.76747,100.63287,Private room,1190,1,1,2023-01-30,0.20,3,365,1,
688013,Rental unit in Bangkok · ★4.69 · 1 bedroom · 1 bed · 1 bath,1780407,Feb,,Bang Na,13.67926,100.61655,Entire home/apt,808,29,148,2023-04-22,1.14,6,278,2,
145343,Rental unit in Bangkok · ★4.66 · 1 bedroom · 1 bed · 1.5 baths,703944,Parinya,,Lat Krabang,13.721868,100.771713,Private room,1200,1,44,2023-06-08,0.42,1,364,25,
691478,Rental unit in Bangkok · ★5.0 · 1 bedroom · 1 bed · 1 bath,3533863,Sarasinee,,Phaya Thai,13.78887,100.56009,Entire home/apt,500,30,4,2012-12-15,0.03,4,0,0,
156583,Rental unit in Bangkok · ★4.17 · 1 bedroom · 1 bed · 1 bath,58920,Gael,,Bang Rak,13.7285,100.52313,Entire home/apt,1090,7,66,2023-04-13,0.47,2,151,4,
691526,Rental unit in Bangkok · 1 bedroom · 1 bed · 1.5 baths,3533863,Sarasinee,,Phaya Thai,13.79032,100.56145,Entire home/apt,1360,1,0,,,4,0,0,
159355,Condo in Bangkok · 1 bedroom · 1 bed · 1 bath,764690,Wirat,,Yan na wa,13.71363,100.54652,Entire home/apt,1761,2,0,,,1,0,0,
691540,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,3533863,Sarasinee,,Din Daeng,13.78829,100.56171,Entire home/apt,1000,3,0,,,4,0,0,
159854,Condo in Wattana · ★4.67 · 1 bedroom · 1 bed · 1 bath,766443,Gerd,,Vadhana,13.74293,100.55603,Entire home/apt,1728,3,213,2023-01-10,1.52,5,134,7,
715652,Rental unit in Bangkok · ★4.33 · Studio · 1 bed · 1 bath,3687435,Avinash,,Din Daeng,13.78777,100.56551,Entire home/apt,880,1,6,2015-10-18,0.05,1,0,0,
166267,Condo in Bangkok · ★4.46 · 1 bedroom · 3 beds · 1 bath,58920,Gael,,Bang Rak,13.72733,100.52555,Entire home/apt,1320,7,75,2023-04-25,0.54,2,142,8,
169285,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,806600,Frances,,Huai Khwang,13.78118,100.58349,Private room,1338,1,0,,,1,0,0,
722291,Condo in Bangkok · ★4.82 · 1 bedroom · 1 bed · 1 bath,1810415,Egidio,,Sathon,13.72109,100.53915,Entire home/apt,1021,300,35,2022-06-17,0.29,3,333,0,
169514,Rental unit in Bangkok · 2 bedrooms · 1 bed · 2 baths,729617,Kanchuya,,Vadhana,13.74464,100.55784,Entire home/apt,1761,90,0,,,1,365,0,
722660,Condo in Bangkok · 1 bedroom · 1 bed · 1 bath,3734436,Chok,,Sathon,13.70644,100.52544,Entire home/apt,1233,21,0,,,2,365,0,
172332,Guesthouse in Bangkok · ★5.0 · 1 bedroom · 1 bed · 1.5 baths,822284,Rae And Charlie,,Bang Sue,13.83148,100.52102,Entire home/apt,1000,3,23,2023-02-19,0.18,8,149,2,
723070,Condo in Khet Sathon · 2 bedrooms · 1 bed · 1 bath,3734436,Chok,,Sathon,13.72075,100.53993,Entire home/apt,1585,21,2,2018-12-05,0.03,2,364,0,
185364,Home in Bangkok · 1 bedroom · 1 bed · 2 baths,889670,Narumon,,Nong Chok,13.77892,100.83838,Entire home/apt,8808,1,0,,,1,363,0,
729015,Rental unit in Bangkok · ★4.94 · 2 bedrooms · 1 bed · 1 bath,3785867,Julia,,Khlong San,13.72077,100.51202,Entire home/apt,3419,360,37,2018-04-30,0.29,2,364,0,
241416,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,960892,Vajirune,,Phra Khanong,13.70169,100.5977,Private room,2289,3,0,,,1,365,0,
736372,Rental unit in Bangkok · 2 bedrooms · 1 bed · 3 baths,3843977,Marc,,Vadhana,13.74283,100.58651,Entire home/apt,2007,180,0,,,1,0,0,
1052180,Condo in Bangkok · ★4.71 · 2 bedrooms · 1 bed · 1 bath,5793490,Nicky,,Bang Kho laen,13.69947,100.52726,Entire home/apt,800,1,33,2023-05-06,0.29,6,88,8,
296960,Rental unit in Bangkok · ★4.90 · 1 bedroom · 1 bed · 1 bath,175729,Mitch & Mam,,Chatu Chak,13.80926,100.56892,Entire home/apt,916,358,56,2019-08-04,0.41,1,0,0,
1057173,Condo in Bangkok · ★4.60 · 1 bedroom · 1 bed · 1 bath,5822937,Piya,,Bang Na,13.67991,100.61055,Entire home/apt,999,14,172,2023-02-28,1.47,1,230,5,
1067748,Aparthotel in Khet Sathon · ★4.61 · 1 bedroom · 1 bed · 1 private bath,4154759,Mimi,,Sathon,13.71498,100.53312,Private room,1200,1,43,2023-05-05,0.46,4,65,12,
742497,Home in Bangkok · 1 bedroom · 1 bed · 1 bath,3837874,Fr,,Samphanthawong,13.73989,100.50179,Private room,1761,5,1,2013-08-18,0.01,1,365,0,
313459,Home in Bangkok · 1 bedroom · 1 bed · 1 bath,1611711,Nichapat,,Khlong Toei,13.71513,100.5683,Private room,2264,1,0,,,1,0,0,
742693,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,3888806,Nulek,,Khlong Toei,13.72062,100.58019,Entire home/apt,1761,2,0,,,1,365,0,
1079039,Condo in Bangkok · 1 bedroom · 1 bed · 1 bath,5935474,Tisa,,Huai Khwang,13.75224,100.58979,Entire home/apt,1169,15,0,,,1,180,0,
1086843,Parking space in Bangkok · 1 bedroom · 1 bed · 2 shared baths,4937984,Sugarcane,,Phra Nakhon,13.75135,100.49447,Shared room,5283,1,0,,,1,0,0,
320014,Rental unit in Bangkok · ★4.61 · 2 bedrooms · 2 beds · 2 baths,843854,Anshera,,Khlong Toei,13.7281,100.57318,Entire home/apt,1761,30,71,2023-05-27,0.51,1,124,5,
1088343,Rental unit in Bangkok · ★4.76 · 2 bedrooms · 2 beds · 2 baths,5981006,Sibyl,,Vadhana,13.7104,100.60171,Entire home/apt,2395,30,19,2020-01-04,0.16,1,336,0,
758483,Condo in Bangkok · ★4.70 · 1 bedroom · 1 bed · 1 bath,1774390,Add,,Vadhana,13.73595,100.58375,Entire home/apt,2430,30,62,2020-01-30,0.48,2,364,0,
385130,Rental unit in Bangkok · ★4.61 · 1 bedroom · 1 bed · 1 bath,1927968,Evan,,Sathon,13.720548,100.54697,Entire home/apt,743,1,409,2023-04-28,2.98,39,351,14,
768019,Villa in Bangkok · ★4.75 · 2 bedrooms · 3 beds · 3 baths,2975807,Ingo,,Vadhana,13.73668,100.56693,Entire home/apt,4226,28,5,2023-04-30,0.04,2,228,1,
1094136,Condo in Bangkok · ★4.64 · Studio · 2 beds · 1.5 baths,5793490,Nicky,,Bang Kho laen,13.69949,100.52725,Entire home/apt,880,1,22,2023-04-20,0.21,6,89,5,
385278,Rental unit in Bangkok · 1 bedroom · 1 bed · 0 baths,1928343,Chanvit,,Rat Burana,13.68426,100.49841,Private room,1585,1,0,,,1,0,0,
1133843,Aparthotel in Khet Thon Buri · 1 bedroom · 1 bed · 0 shared baths,6220137,Prapussorn,,Thon buri,13.72646255738608,100.49129336748284,Private room,800,1,0,,,1,0,0,
385979,Rental unit in Bangkok · ★4.79 · 2 bedrooms · 2 beds · 2 baths,1681901,Pornpan,,Khlong San,13.71905,100.50414,Entire home/apt,1747,30,81,2023-04-07,0.60,1,365,1,
1138679,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,4877320,Nisa,,Suanluang,13.71119,100.63334,Entire home/apt,986,21,1,2013-07-01,0.01,2,365,0,
1141969,Condo in Bangkok · ★4.88 · 2 bedrooms · 1 bed · 2 baths,6262801,Andrea,,Bang Rak,13.72687,100.52326,Entire home/apt,5987,30,8,2019-01-22,0.07,1,358,0,
801844,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,121622,Anchalee,,Bang Kapi,13.75878,100.64988,Entire home/apt,528,4,1,2016-11-09,0.01,1,0,0,
390611,Condo in Bangkok · ★4.56 · Studio · 2 beds · 1 bath,807406,Hollis,,Khlong Toei,13.74052,100.55237,Entire home/apt,810,1,192,2023-06-20,1.41,1,95,9,
393066,Rental unit in Bangkok · ★4.50 · Studio · 1 bed · 1 bath,1927968,Evan,,Sathon,13.720785,100.547241,Entire home/apt,800,1,449,2023-06-09,3.38,39,335,25,
808870,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,4255924,Arnaud,,Khlong Toei,13.73684,100.55488,Private room,1500,7,0,,,1,0,0,
1151862,Home in Bangkok · 1 bedroom · 1 bed · 1 bath,6313832,Psirivedin,,Don Mueang,13.9277,100.58757,Private room,1250,1,0,,,1,0,0,
397449,"Rental unit in Silom, Bangrak · ★4.58 · 1 bedroom · 1 bed · 1 private bath",263049,Tor,,Sathon,13.71782,100.51622,Private room,950,1,40,2023-04-08,0.29,7,337,3,
1155399,Rental unit in Bangkok · 1 bedroom · 3 beds · 2 baths,6329126,Borisut,,Ratchathewi,13.75086,100.55932,Private room,2000,180,1,2017-01-12,0.01,1,0,0,
405662,Condo in  Bangkok · ★4.84 · 1 bedroom · 1 bed · 1 bath,1425515,Peter,,Vadhana,13.73816,100.56495,Entire home/apt,1400,28,32,2022-10-31,0.24,2,160,2,
1160838,Serviced apartment in Phayathai · ★4.83 · 2 bedrooms · 2 beds · 2 baths,1513875,Suchada,,Phaya Thai,13.7736,100.54079,Entire home/apt,1971,1,207,2023-06-20,2.06,4,357,148,
811670,Home in Bangkok · ★4.58 · 2 bedrooms · 2 beds · 2 baths,4268095,Ann,,Din Daeng,13.78499,100.56958,Entire home/apt,2000,2,27,2023-01-27,0.21,1,330,3,
818612,Guesthouse in Bangkok · ★5.0 · 1 bedroom · 2 beds · 1.5 baths,822284,Rae And Charlie,,Bang Sue,13.83148,100.52151,Entire home/apt,1000,3,8,2023-02-21,0.07,8,171,1,
407381,Rental unit in Bangkok · ★4.77 · 2 bedrooms · 3 beds · 3 baths,1463818,Amporn,,Vadhana,13.73675,100.57191,Entire home/apt,3803,7,18,2022-09-14,0.14,1,64,1,
820395,Guesthouse in Bangkok · ★4.77 · 1 bedroom · 1 bed · 1 bath,822284,Rae And Charlie,,Bang Sue,13.83026,100.52082,Entire home/apt,700,7,13,2018-02-14,0.10,8,88,0,
1187726,Condo in Bangkok · ★4.56 · 1 bedroom · 1 bed · 1 bath,5402740,Nattha,,Phaya Thai,13.77808,100.5416,Entire home/apt,1000,120,18,2021-03-15,0.36,1,365,0,
413824,Rental unit in Bangkok · ★4.53 · 1 bedroom · 1 bed · 1 bath,1927968,Evan,,Sathon,13.720548,100.54697,Entire home/apt,629,1,340,2023-06-12,2.66,39,362,15,
1206077,Rental unit in Bangkok · ★4.83 · 1 bedroom · 1 bed · 1 bath,6586465,Tayawat,,Phaya Thai,13.77776,100.54353,Entire home/apt,2990,9,36,2023-05-24,0.32,1,179,2,
1208204,Condo in Wattana · ★4.70 · 1 bedroom · 1 bed · 1 bath,766443,Gerd,,Vadhana,13.73757,100.55996,Entire home/apt,1613,3,225,2023-05-31,1.90,5,175,32,
1218098,Rental unit in Bangkok · ★4.69 · 1 bedroom · 1 bed · 1 bath,6647138,NiNew,,Lak Si,13.88974,100.56257,Private room,800,1,27,2016-04-08,0.22,4,360,0,
822214,Home in Bangkok · ★5.0 · 2 bedrooms · 3 beds · 1 bath,822284,Rae And Charlie,,Bang Sue,13.83148,100.52307,Entire home/apt,1200,3,23,2023-03-18,0.18,8,170,3,
837342,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,3533863,Sarasinee,,Phaya Thai,13.78832,100.56145,Private room,1057,3,0,,,4,0,0,
428360,Rental unit in Bangkok · ★4.56 · 2 bedrooms · 1 bed · 1 bath,2129668,Wimonpak,,Yan na wa,13.69673,100.53202,Entire home/apt,1163,200,35,2019-03-04,0.26,44,365,0,
428421,Rental unit in Bangkok · ★4.79 · 1 bedroom · 1 bed · 1 bath,2129668,Wimonpak,,Bang Kho laen,13.69935,100.52723,Entire home/apt,700,365,40,2018-10-24,0.30,44,365,0,
1218842,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,6648722,Taweewat  (Ken),,Phaya Thai,13.78148,100.54868,Private room,1107,2,1,2019-01-04,0.02,2,365,0,
428907,Rental unit in Bangkok · ★4.42 · 1 bedroom · 1 bed · 1 bath,2129668,Wimonpak,,Bang Kho laen,13.69977,100.52652,Entire home/apt,845,365,14,2013-11-01,0.11,44,270,0,
851956,Rental unit in Bangkok · ★4.76 · 1 bedroom · 1 bed · 1.5 baths,4100838,Siri,,Khlong Toei,13.70486,100.60152,Entire home/apt,900,21,38,2023-06-18,0.30,3,263,6,
428950,Rental unit in Bangkok · ★4.61 · 1 bedroom · 1 bed · 1 bath,2129668,Wimonpak,,Bang Kho laen,13.698,100.52886,Entire home/apt,790,1,128,2023-01-01,0.96,44,365,6,
1227663,Rental unit in Bangkok · ★4.86 · 1 bedroom · 1 bed · 1 bath,5469059,Andrew,,Parthum Wan,13.74088,100.54102,Entire home/apt,3220,10,124,2023-06-13,1.01,1,296,5,
430691,Rental unit in Bangkok · ★4.65 · 1 bedroom · 1 bed · 1 bath,2129668,Wimonpak,,Bang Kho laen,13.70068,100.5228,Entire home/apt,850,1,27,2023-05-07,0.23,44,299,1,
852063,Rental unit in Bangkok · ★4.92 · 2 bedrooms · 2 beds · 2 baths,4396467,Sujin,,Sathon,13.71972,100.54924,Entire home/apt,1693,30,26,2023-01-05,0.20,2,0,3,
430703,Rental unit in Bangkok · ★4.65 · 1 bedroom · 1 bed · 1 bath,2129668,Wimonpak,,Bang Kho laen,13.69925,100.52624,Entire home/apt,890,1,51,2023-01-22,0.39,44,365,6,
430706,Rental unit in Bangkok · ★5.0 · 1 bedroom · 1 bed,2129668,Wimonpak,,Bang Kho laen,13.70086,100.52276,Entire home/apt,1299,365,8,2013-06-28,0.06,44,365,0,
1235695,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,4583001,Suchela,,Phaya Thai,13.78761,100.55319,Entire home/apt,634,365,0,,,2,0,0,
432004,Rental unit in Bangkok · ★4.29 · 1 bedroom · 1 bed · 1 bath,2148220,Marvin,,Sathon,13.71922,100.5255,Private room,1479,1,14,2017-02-23,0.11,3,0,0,
852308,Rental unit in Bangkok · 3 bedrooms · 1 bed · 1.5 shared baths,4414621,Catroom,,Bang Rak,13.7318,100.52351,Private room,980,1,0,,,1,365,0,
439051,Serviced apartment in Bangkok · ★4.83 · 1 bedroom · 1 bed · 1 bath,2122791,Maam & Hermann,,Yan na wa,13.67317,100.54406,Hotel room,1585,2,120,2020-02-28,0.89,1,365,0,
854660,Home in Bangkok · 1 bedroom · 1 bed · 2 baths,931710,Jeremy,,Nong Chok,13.77671,100.8389,Entire home/apt,8804,1,2,2023-05-09,0.02,2,0,1,
1244333,Guesthouse in Khet Phaya Thai · ★4.67 · 1 bedroom · 2 beds · 1 private bath,2087671,Apipu,,Phaya Thai,13.79221,100.54631,Private room,399,1,33,2020-03-15,0.69,1,0,0,
449782,Rental unit in Bangkok · ★4.61 · Studio · 1 bed · 1 bath,2129668,Wimonpak,,Bang Kho laen,13.69832,100.52434,Entire home/apt,929,1,65,2023-04-29,0.49,44,180,6,
1255386,Rental unit in Dusit · 1 bedroom · 3 beds · 1 private bath,6838199,Sirikamol,,Dusit,13.77073,100.50478,Private room,7500,1,0,,,3,0,0,
856426,Home in Bangkok · 1 bedroom · 1 bed · 1 bath,931710,Jeremy,,Nong Chok,13.77618,100.83883,Entire home/apt,3523,2,1,2016-03-10,0.01,2,360,0,
449826,Loft in Bangkok · ★4.64 · 1 bedroom · 1 bed · 1 bath,2129668,Wimonpak,,Bang Kho laen,13.70218,100.52254,Entire home/apt,750,2,43,2023-04-15,0.33,44,294,5,
858311,Condo in Bangkok · ★4.84 · 2 bedrooms · 3 beds · 3.5 baths,4491588,Donzo,,Khlong San,13.72135,100.508,Entire home/apt,4400,2,280,2023-06-23,2.22,1,189,48,
1296322,Rental unit in Bangkok · ★4.48 · 1 bedroom · 1 bed · 1 bath,2129668,Wimonpak,,Sathon,13.71425,100.51332,Entire home/apt,700,1,217,2023-04-02,1.79,44,359,17,
450464,Rental unit in Bangkok · ★4.62 · 1 bedroom · 1 bed · 1 bath,2129668,Wimonpak,,Bang Kho laen,13.70039,100.52806,Entire home/apt,790,1,45,2023-02-07,0.43,44,365,8,
1302302,Condo in Bangkok · ★4.83 · 2 bedrooms · 2 beds · 2 baths,6132593,Salvatore,,Sathon,13.72027,100.52851,Entire home/apt,3200,2,141,2023-04-27,1.18,7,155,8,
527553,Condo in Bangkok · ★5.0 · 1 bedroom · 1 bed · 1 bath,2592798,Nokina,,Chatu Chak,13.82841,100.57103,Entire home/apt,1021,2,24,2018-07-22,0.18,2,0,0,
1316688,Rental unit in Bangkok · ★4.85 · 1 bedroom · 1 bed · 1 bath,5394070,Eva,,Khlong Toei,13.72242,100.57962,Entire home/apt,1514,30,81,2022-10-07,0.68,1,143,1,
858338,Rental unit in Bangkok · ★4.55 · Studio · 1 bed · 1 bath,1927968,Evan,,Sathon,13.720785,100.547241,Entire home/apt,800,1,284,2023-05-31,2.24,39,362,13,
534241,Condo in Bangkok · 3 bedrooms · 4 beds · 3 baths,2625384,Mike,,Chatu Chak,13.80994,100.5651,Entire home/apt,4228,30,0,,,1,365,0,
861105,Home in Bangkok · ★4.88 · 2 bedrooms · 4 beds · 1.5 baths,822284,Rae And Charlie,,Bang Sue,13.83235,100.5228,Entire home/apt,1500,3,42,2023-04-27,0.33,8,167,5,
1323380,Home in Bangkok · 1 bedroom,2975807,Ingo,,Vadhana,13.74618,100.55168,Private room,9600,28,1,2017-06-19,0.01,2,365,0,
580270,Rental unit in Bangkok · ★4.68 · Studio · 1 bed · 1 bath,1927968,Evan,,Sathon,13.720785,100.547241,Entire home/apt,707,1,102,2023-04-03,0.98,39,350,15,
1338281,Loft in Bangkok · ★4.41 · 2 bedrooms · 1 bed · 1 bath,2129668,Wimonpak,,Sathon,13.71506,100.51319,Entire home/apt,1000,1,118,2023-04-22,0.98,44,319,1,
1338489,Rental unit in Bangkok · ★4.54 · 1 bedroom · 1 bed · 1 bath,2129668,Wimonpak,,Sathon,13.7133,100.51337,Entire home/apt,999,1,160,2023-06-07,1.32,44,170,14,
863341,Condo in Bangkok · ★4.30 · 1 bedroom · 1 bed · 1 bath,4474838,Sue,,Yan na wa,13.67907,100.52887,Entire home/apt,951,28,27,2023-04-25,0.26,5,365,1,
863669,Condo in Bangkok · ★4.65 · 2 bedrooms · 2 beds · 2 baths,4474838,Sue,,Khlong San,13.72162,100.5075,Entire home/apt,2290,7,94,2023-04-09,0.76,5,317,5,
581755,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,2864425,Urcha,,Bang Kapi,13.75056,100.60844,Private room,1338,5,1,2013-12-03,0.01,1,0,0,
866152,Guesthouse in Bangkok · 1 bedroom · 3 beds · 1 bath,822284,Rae And Charlie,,Bang Sue,13.82955,100.52119,Entire home/apt,1000,3,0,,,8,171,0,
1341114,Rental unit in Bangna · 1 bedroom · 1 bed · 1 bath,7273604,Nim,,Bang Na,13.67826,100.60592,Entire home/apt,1750,28,0,,,2,365,0,
1341890,Rental unit in Huai Khwang · ★4.71 · 1 bedroom · 1 bed · 1 bath,7278395,Niramol,,Huai Khwang,13.74538,100.59943,Entire home/apt,888,7,58,2023-06-09,0.48,7,127,7,
605314,Rental unit in Bangkok · ★4.46 · Studio · 1 bed · 1 bath,1927968,Evan,,Sathon,13.720785,100.547241,Entire home/apt,814,1,432,2023-05-28,3.28,39,362,10,
1344388,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,2653642,Hab,,Din Daeng,13.77126,100.57088,Private room,1200,2,0,,,1,0,0,
866329,Rental unit in Bangkok · ★4.58 · 1 bedroom · 1 bed · 1 bath,4549405,Carlos,,Bang Rak,13.72479,100.53039,Private room,728,21,14,2023-04-26,0.12,2,255,6,
869715,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,4583001,Suchela,,Khlong Toei,13.7142,100.59233,Entire home/apt,880,120,0,,,2,0,0,
605343,Rental unit in Bangkok · ★4.57 · Studio · 1 bed · 1 bath,1927968,Evan,,Sathon,13.720785,100.547241,Entire home/apt,700,1,228,2023-05-08,1.78,39,349,8,
881208,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,4549405,Carlos,,Bang Rak,13.72386,100.52563,Private room,800,180,0,,,2,365,0,
1350390,Rental unit in Bangkok · ★4.53 · 1 bedroom · 1 bed · 1 bath,2129668,Wimonpak,,Sathon,13.71628,100.51238,Entire home/apt,990,1,119,2023-05-26,0.98,44,339,15,
1642375,Hotel in Khet Yan Nawa · 1 bedroom · 1 bed · 1 shared bath,8717079,Kriengsak From Chatrium Sathon,,Yan na wa,13.70249,100.53757,Private room,3779,1,1,2019-09-22,0.02,14,354,0,
1353517,Condo in Bangkok · ★4.80 · 2 bedrooms · 3 beds · 2 baths,7327298,Notee,,Khlong Toei,13.72393,100.57647,Entire home/apt,3450,5,30,2023-05-31,0.33,3,53,13,
1394285,Rental unit in Bangkok · ★4.13 · 1 bedroom · 1 bed · 1 bath,7489121,Anis,,Suanluang,13.73789,100.64271,Private room,850,1,8,2022-06-30,0.10,11,365,1,
888304,Condo in Bangkok · ★4.89 · 1 bedroom · 1 bed · 1 bath,2592798,Nokina,,Chatu Chak,13.83028,100.57065,Entire home/apt,880,4,9,2021-12-14,0.07,2,0,0,
1647608,Rental unit in Bangkok · ★4.07 · 1 bedroom · 1 bed · 1 bath,8663142,ISanook Hotel,,Bang Rak,13.73288,100.52328,Private room,1900,30,16,2023-02-24,0.14,50,197,3,
889909,Home in Bangkok · ★5.0 · 1 bedroom · 1 bed · 1 bath,4721867,Annie,,Bang Na,13.65979,100.60643,Private room,700,1,4,2016-09-06,0.03,1,0,0,
1395513,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,7489121,Anis,,Suanluang,13.73613,100.64319,Private room,1050,1,0,,,11,365,0,
1400351,Rental unit in Bangkok · ★5.0 · 1 bedroom · 1 bed · 1 bath,7489121,Anis,,Bueng Kum,13.78327,100.67124,Private room,700,1,3,2019-09-19,0.06,11,365,0,
1657411,Rental unit in Bangkok · ★4.18 · Studio · 1 bed · 1 bath,8362130,Luckana,,Lat Krabang,13.719,100.73172,Entire home/apt,1339,1,63,2020-02-28,0.54,2,365,0,
1404697,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,7489121,Anis,,Bang Phlat,13.80698,100.5121,Private room,1050,1,0,,,11,365,0,
1405479,Rental unit in Bangkok · 2 bedrooms · 1 bed · 1 shared bath,7489121,Anis,,Bang Phlat,13.807,100.51059,Private room,1676,1,0,,,11,365,0,
1405480,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,7489121,Anis,,Bang Phlat,13.80657,100.51192,Private room,1050,1,0,,,11,365,0,
904353,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 private bath,4836941,GrongGaew,,Suanluang,13.73693,100.61644,Private room,1373,2,0,,,4,365,0,
1661636,Rental unit in Bangkok · ★4.71 · 1 bedroom · 1 bed · 1 bath,1927968,Evan,,Sathon,13.720548,100.54697,Entire home/apt,714,1,206,2023-06-03,1.75,39,345,13,
906203,Condo in Tambon Sam Rong Nua · 1 bedroom · 1 bath,4850305,Dujdao,,Bang Na,13.65441,100.64548,Private room,810,1,0,,,1,365,0,
1406065,Rental unit in Bangkok · 1 bedroom · 1 bed · 1 bath,7489121,Anis,,Bang Phlat,13.80685,100.5125,Private room,1050,1,0,,,11,365,0,
1662207,Rental unit in  BangkokYai · ★4.78 · 2 bedrooms · 1 bed · 1 bath,8807437,Oillie,,Bangkok Yai,13.74266,100.47679,Entire home/apt,1450,1,9,2023-01-08,0.08,11,364,1,
1665776,Rental unit in Isaraphab Rd · ★5.0 · 2 bedrooms · 2 beds · 1 bath,8807437,Oillie,,Bangkok Yai,13.74286,100.47575,Entire home/apt,1800,1,4,2018-03-28,0.04,11,365,0,
907553,Rental unit in Bangkok · 2 bedrooms · 2 beds · 2 baths,4861469,Kostas,,Ratchathewi,13.75409,100.53552,Entire home/apt,3647,7,0,,,1,269,0,
909514,Rental unit in Bangkok · ★4.79 · 3 bedrooms · 6 beds · 2 baths,4877320,Nisa,,Vadhana,13.73958,100.5865,Entire home/apt,3451,2,274,2023-05-28,2.18,2,343,22,
