travelCode,userCode,name,place,days,price,total,date
325,3,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,08/19/2021
337,3,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,11/11/2021
338,3,Hotel Z,Aracaju (SE),3,208.04,624.12,11/18/2021
347,3,Hotel BP,Brasilia (DF),1,247.62,247.62,01/20/2022
350,3,Hotel BD,Natal (RN),1,242.88,242.88,02/10/2022
363,3,Hotel AF,Sao Paulo (SP),1,139.1,139.1,05/12/2022
369,3,Hotel AU,Recife (PE),3,312.83,938.49,06/23/2022
373,3,Hotel BW,Campo Grande (MS),4,60.39,241.56,07/21/2022
377,3,Hotel A,Florianopolis (SC),4,313.02,1252.08,08/18/2022
382,3,Hotel K,Salvador (BH),2,263.41,526.82,09/22/2022
383,3,Hotel A,Florianopolis (SC),2,313.02,626.04,09/29/2022
385,3,Hotel BW,Campo Grande (MS),2,60.39,120.78,10/13/2022
387,3,Hotel AF,Sao Paulo (SP),3,139.1,417.3,10/27/2022
388,3,Hotel BD,Natal (RN),4,242.88,971.52,11/03/2022
394,3,Hotel K,Salvador (BH),4,263.41,1053.64,12/15/2022
397,3,Hotel AU,Recife (PE),4,312.83,1251.32,01/05/2023
398,3,Hotel BW,Campo Grande (MS),4,60.39,241.56,01/12/2023
403,3,Hotel AF,Sao Paulo (SP),3,139.1,417.3,02/16/2023
404,3,Hotel Z,Aracaju (SE),1,208.04,208.04,02/23/2023
406,3,Hotel BD,Natal (RN),2,242.88,485.76,03/09/2023
408,3,Hotel K,Salvador (BH),1,263.41,263.41,03/23/2023
409,3,Hotel K,Salvador (BH),3,263.41,790.23,03/30/2023
410,3,Hotel BW,Campo Grande (MS),3,60.39,181.17,04/06/2023
412,3,Hotel A,Florianopolis (SC),2,313.02,626.04,04/20/2023
415,3,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,05/11/2023
417,3,Hotel BD,Natal (RN),2,242.88,485.76,05/25/2023
418,3,Hotel AU,Recife (PE),1,312.83,312.83,06/01/2023
419,3,Hotel BW,Campo Grande (MS),2,60.39,120.78,06/08/2023
424,3,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,07/13/2023
426,4,Hotel AU,Recife (PE),2,312.83,625.66,10/03/2019
431,4,Hotel AU,Recife (PE),4,312.83,1251.32,11/07/2019
432,4,Hotel AU,Recife (PE),3,312.83,938.49,11/14/2019
440,4,Hotel K,Salvador (BH),3,263.41,790.23,01/09/2020
442,4,Hotel Z,Aracaju (SE),2,208.04,416.08,01/23/2020
445,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,02/13/2020
447,4,Hotel AF,Sao Paulo (SP),2,139.1,278.2,02/27/2020
450,4,Hotel BW,Campo Grande (MS),2,60.39,120.78,03/19/2020
452,4,Hotel A,Florianopolis (SC),1,313.02,313.02,04/02/2020
456,4,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,04/30/2020
457,4,Hotel BW,Campo Grande (MS),2,60.39,120.78,05/07/2020
468,4,Hotel Z,Aracaju (SE),1,208.04,208.04,07/23/2020
473,4,Hotel AF,Sao Paulo (SP),4,139.1,556.4,08/27/2020
481,4,Hotel A,Florianopolis (SC),4,313.02,1252.08,10/22/2020
486,4,Hotel Z,Aracaju (SE),4,208.04,832.16,11/26/2020
490,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,12/24/2020
491,4,Hotel A,Florianopolis (SC),4,313.02,1252.08,12/31/2020
494,4,Hotel AF,Sao Paulo (SP),2,139.1,278.2,01/21/2021
498,4,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,02/18/2021
500,4,Hotel K,Salvador (BH),2,263.41,526.82,03/04/2021
501,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,03/11/2021
503,4,Hotel A,Florianopolis (SC),2,313.02,626.04,03/25/2021
505,4,Hotel A,Florianopolis (SC),2,313.02,626.04,04/08/2021
514,4,Hotel AU,Recife (PE),3,312.83,938.49,06/10/2021
517,4,Hotel BD,Natal (RN),4,242.88,971.52,07/01/2021
529,4,Hotel AF,Sao Paulo (SP),3,139.1,417.3,09/23/2021
532,4,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,10/14/2021
537,4,Hotel AU,Recife (PE),3,312.83,938.49,11/18/2021
541,4,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,12/16/2021
543,4,Hotel BW,Campo Grande (MS),3,60.39,181.17,12/30/2021
545,4,Hotel BW,Campo Grande (MS),1,60.39,60.39,01/13/2022
548,4,Hotel BW,Campo Grande (MS),2,60.39,120.78,02/03/2022
555,4,Hotel A,Florianopolis (SC),1,313.02,313.02,03/24/2022
556,4,Hotel K,Salvador (BH),3,263.41,790.23,03/31/2022
557,4,Hotel K,Salvador (BH),1,263.41,263.41,04/07/2022
559,4,Hotel K,Salvador (BH),2,263.41,526.82,04/21/2022
562,4,Hotel BD,Natal (RN),2,242.88,485.76,05/12/2022
564,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,05/26/2022
565,4,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,06/02/2022
574,4,Hotel BP,Brasilia (DF),4,247.62,990.48,08/04/2022
578,4,Hotel Z,Aracaju (SE),3,208.04,624.12,09/01/2022
581,4,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,09/22/2022
582,4,Hotel AF,Sao Paulo (SP),3,139.1,417.3,09/29/2022
586,4,Hotel K,Salvador (BH),2,263.41,526.82,10/27/2022
587,4,Hotel K,Salvador (BH),1,263.41,263.41,11/03/2022
588,4,Hotel BD,Natal (RN),2,242.88,485.76,11/10/2022
590,4,Hotel AU,Recife (PE),2,312.83,625.66,11/24/2022
591,4,Hotel AU,Recife (PE),4,312.83,1251.32,12/01/2022
596,4,Hotel BP,Brasilia (DF),1,247.62,247.62,01/05/2023
598,4,Hotel BD,Natal (RN),4,242.88,971.52,01/19/2023
604,4,Hotel AF,Sao Paulo (SP),3,139.1,417.3,03/02/2023
605,4,Hotel A,Florianopolis (SC),4,313.02,1252.08,03/09/2023
609,4,Hotel BW,Campo Grande (MS),2,60.39,120.78,04/06/2023
619,4,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,06/15/2023
621,4,Hotel BP,Brasilia (DF),4,247.62,990.48,06/29/2023
623,4,Hotel BD,Natal (RN),4,242.88,971.52,07/13/2023
624,5,Hotel K,Salvador (BH),2,263.41,526.82,09/26/2019
638,5,Hotel K,Salvador (BH),1,263.41,263.41,01/02/2020
643,5,Hotel AF,Sao Paulo (SP),3,139.1,417.3,02/06/2020
644,5,Hotel K,Salvador (BH),1,263.41,263.41,02/13/2020
646,5,Hotel K,Salvador (BH),3,263.41,790.23,02/27/2020
648,5,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,03/12/2020
658,5,Hotel BD,Natal (RN),1,242.88,242.88,05/21/2020
668,5,Hotel BW,Campo Grande (MS),1,60.39,60.39,07/30/2020
670,5,Hotel K,Salvador (BH),3,263.41,790.23,08/13/2020
676,5,Hotel A,Florianopolis (SC),4,313.02,1252.08,09/24/2020
680,5,Hotel AF,Sao Paulo (SP),2,139.1,278.2,10/22/2020
683,5,Hotel AF,Sao Paulo (SP),1,139.1,139.1,11/12/2020
687,5,Hotel Z,Aracaju (SE),1,208.04,208.04,12/10/2020
688,6,Hotel BD,Natal (RN),3,242.88,728.64,09/26/2019
690,6,Hotel AF,Sao Paulo (SP),3,139.1,417.3,10/10/2019
695,6,Hotel A,Florianopolis (SC),2,313.02,626.04,11/14/2019
696,6,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,11/21/2019
698,6,Hotel AU,Recife (PE),1,312.83,312.83,12/05/2019
699,6,Hotel BW,Campo Grande (MS),4,60.39,241.56,12/12/2019
701,6,Hotel BP,Brasilia (DF),4,247.62,990.48,12/26/2019
707,6,Hotel A,Florianopolis (SC),2,313.02,626.04,02/06/2020
711,6,Hotel AF,Sao Paulo (SP),1,139.1,139.1,03/05/2020
712,6,Hotel A,Florianopolis (SC),4,313.02,1252.08,03/12/2020
718,6,Hotel K,Salvador (BH),4,263.41,1053.64,04/23/2020
719,6,Hotel AF,Sao Paulo (SP),1,139.1,139.1,04/30/2020
723,6,Hotel BP,Brasilia (DF),2,247.62,495.24,05/28/2020
739,6,Hotel AF,Sao Paulo (SP),3,139.1,417.3,09/17/2020
745,6,Hotel K,Salvador (BH),1,263.41,263.41,10/29/2020
746,6,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,11/05/2020
747,6,Hotel BD,Natal (RN),4,242.88,971.52,11/12/2020
749,6,Hotel A,Florianopolis (SC),2,313.02,626.04,11/26/2020
753,6,Hotel BP,Brasilia (DF),2,247.62,495.24,12/24/2020
754,6,Hotel BD,Natal (RN),2,242.88,485.76,12/31/2020
755,6,Hotel K,Salvador (BH),1,263.41,263.41,01/07/2021
762,6,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,02/25/2021
767,6,Hotel AF,Sao Paulo (SP),3,139.1,417.3,04/01/2021
778,7,Hotel AF,Sao Paulo (SP),3,139.1,417.3,11/21/2019
787,7,Hotel BW,Campo Grande (MS),1,60.39,60.39,01/23/2020
788,7,Hotel BW,Campo Grande (MS),2,60.39,120.78,01/30/2020
793,7,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,03/05/2020
795,7,Hotel BW,Campo Grande (MS),2,60.39,120.78,03/19/2020
803,7,Hotel BW,Campo Grande (MS),4,60.39,241.56,05/14/2020
805,7,Hotel Z,Aracaju (SE),2,208.04,416.08,05/28/2020
806,7,Hotel AU,Recife (PE),3,312.83,938.49,06/04/2020
808,7,Hotel BD,Natal (RN),3,242.88,728.64,06/18/2020
809,7,Hotel BP,Brasilia (DF),4,247.62,990.48,06/25/2020
812,7,Hotel BD,Natal (RN),2,242.88,485.76,07/16/2020
815,7,Hotel AU,Recife (PE),3,312.83,938.49,08/06/2020
817,7,Hotel BD,Natal (RN),2,242.88,485.76,08/20/2020
819,7,Hotel BW,Campo Grande (MS),2,60.39,120.78,09/03/2020
823,8,Hotel K,Salvador (BH),4,263.41,1053.64,10/03/2019
826,8,Hotel A,Florianopolis (SC),3,313.02,939.06,10/24/2019
827,8,Hotel AU,Recife (PE),4,312.83,1251.32,10/31/2019
830,8,Hotel BD,Natal (RN),4,242.88,971.52,11/21/2019
834,8,Hotel BP,Brasilia (DF),2,247.62,495.24,12/19/2019
836,8,Hotel AF,Sao Paulo (SP),1,139.1,139.1,01/02/2020
838,8,Hotel BD,Natal (RN),1,242.88,242.88,01/16/2020
840,8,Hotel Z,Aracaju (SE),1,208.04,208.04,01/30/2020
852,8,Hotel A,Florianopolis (SC),1,313.02,313.02,04/23/2020
857,8,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,05/28/2020
861,8,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,06/25/2020
862,8,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,07/02/2020
864,8,Hotel BP,Brasilia (DF),2,247.62,495.24,07/16/2020
865,8,Hotel BW,Campo Grande (MS),3,60.39,181.17,07/23/2020
869,8,Hotel BP,Brasilia (DF),4,247.62,990.48,08/20/2020
871,8,Hotel BD,Natal (RN),4,242.88,971.52,09/03/2020
892,8,Hotel A,Florianopolis (SC),2,313.02,626.04,01/28/2021
894,8,Hotel BP,Brasilia (DF),3,247.62,742.86,02/11/2021
900,8,Hotel BD,Natal (RN),2,242.88,485.76,03/25/2021
904,8,Hotel AU,Recife (PE),4,312.83,1251.32,04/22/2021
907,8,Hotel AU,Recife (PE),3,312.83,938.49,05/13/2021
911,8,Hotel BD,Natal (RN),4,242.88,971.52,06/10/2021
913,8,Hotel A,Florianopolis (SC),1,313.02,313.02,06/24/2021
914,8,Hotel BD,Natal (RN),3,242.88,728.64,07/01/2021
917,8,Hotel BD,Natal (RN),3,242.88,728.64,07/22/2021
919,8,Hotel BW,Campo Grande (MS),4,60.39,241.56,08/05/2021
920,8,Hotel BD,Natal (RN),4,242.88,971.52,08/12/2021
922,8,Hotel AU,Recife (PE),4,312.83,1251.32,08/26/2021
923,8,Hotel A,Florianopolis (SC),4,313.02,1252.08,09/02/2021
925,8,Hotel BW,Campo Grande (MS),1,60.39,60.39,09/16/2021
928,8,Hotel BW,Campo Grande (MS),1,60.39,60.39,10/07/2021
932,8,Hotel K,Salvador (BH),2,263.41,526.82,11/04/2021
935,8,Hotel BD,Natal (RN),3,242.88,728.64,11/25/2021
938,8,Hotel AF,Sao Paulo (SP),3,139.1,417.3,12/16/2021
942,8,Hotel BW,Campo Grande (MS),1,60.39,60.39,01/13/2022
944,8,Hotel AU,Recife (PE),3,312.83,938.49,01/27/2022
945,8,Hotel BD,Natal (RN),1,242.88,242.88,02/03/2022
948,8,Hotel BD,Natal (RN),4,242.88,971.52,02/24/2022
950,8,Hotel AF,Sao Paulo (SP),4,139.1,556.4,03/10/2022
957,8,Hotel Z,Aracaju (SE),4,208.04,832.16,04/28/2022
958,8,Hotel BD,Natal (RN),2,242.88,485.76,05/05/2022
962,8,Hotel AU,Recife (PE),2,312.83,625.66,06/02/2022
966,8,Hotel Z,Aracaju (SE),2,208.04,416.08,06/30/2022
967,8,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,07/07/2022
969,8,Hotel BW,Campo Grande (MS),2,60.39,120.78,07/21/2022
970,8,Hotel AF,Sao Paulo (SP),1,139.1,139.1,07/28/2022
972,8,Hotel AU,Recife (PE),3,312.83,938.49,08/11/2022
974,8,Hotel A,Florianopolis (SC),1,313.02,313.02,08/25/2022
977,8,Hotel AU,Recife (PE),4,312.83,1251.32,09/15/2022
984,8,Hotel Z,Aracaju (SE),4,208.04,832.16,11/03/2022
987,8,Hotel Z,Aracaju (SE),1,208.04,208.04,11/24/2022
988,8,Hotel K,Salvador (BH),4,263.41,1053.64,12/01/2022
997,9,Hotel AF,Sao Paulo (SP),4,139.1,556.4,09/26/2019
998,9,Hotel BD,Natal (RN),2,242.88,485.76,10/03/2019
999,9,Hotel A,Florianopolis (SC),3,313.02,939.06,10/10/2019
1006,9,Hotel AU,Recife (PE),2,312.83,625.66,11/28/2019
1007,9,Hotel Z,Aracaju (SE),2,208.04,416.08,12/05/2019
1012,9,Hotel AU,Recife (PE),4,312.83,1251.32,01/09/2020
1014,9,Hotel BW,Campo Grande (MS),3,60.39,181.17,01/23/2020
1016,9,Hotel K,Salvador (BH),4,263.41,1053.64,02/06/2020
1018,9,Hotel BW,Campo Grande (MS),2,60.39,120.78,02/20/2020
1025,9,Hotel K,Salvador (BH),4,263.41,1053.64,04/09/2020
1034,9,Hotel A,Florianopolis (SC),2,313.02,626.04,06/11/2020
1035,9,Hotel BW,Campo Grande (MS),4,60.39,241.56,06/18/2020
1038,9,Hotel BP,Brasilia (DF),1,247.62,247.62,07/09/2020
1041,9,Hotel Z,Aracaju (SE),4,208.04,832.16,07/30/2020
1048,9,Hotel A,Florianopolis (SC),3,313.02,939.06,09/17/2020
1051,9,Hotel AF,Sao Paulo (SP),4,139.1,556.4,10/08/2020
1052,9,Hotel BP,Brasilia (DF),4,247.62,990.48,10/15/2020
1053,9,Hotel AF,Sao Paulo (SP),2,139.1,278.2,10/22/2020
1055,9,Hotel K,Salvador (BH),3,263.41,790.23,11/05/2020
1065,9,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,01/14/2021
1067,9,Hotel K,Salvador (BH),3,263.41,790.23,01/28/2021
1077,9,Hotel BW,Campo Grande (MS),1,60.39,60.39,04/08/2021
1078,9,Hotel K,Salvador (BH),3,263.41,790.23,04/15/2021
1084,9,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,05/27/2021
1090,9,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,07/08/2021
1091,9,Hotel BW,Campo Grande (MS),2,60.39,120.78,07/15/2021
1093,9,Hotel BW,Campo Grande (MS),4,60.39,241.56,07/29/2021
1095,9,Hotel K,Salvador (BH),1,263.41,263.41,08/12/2021
1096,9,Hotel BW,Campo Grande (MS),3,60.39,181.17,08/19/2021
1101,9,Hotel BP,Brasilia (DF),3,247.62,742.86,09/23/2021
1103,9,Hotel AU,Recife (PE),4,312.83,1251.32,10/07/2021
1106,9,Hotel BW,Campo Grande (MS),3,60.39,181.17,10/28/2021
1113,10,Hotel BD,Natal (RN),1,242.88,242.88,10/03/2019
1119,10,Hotel K,Salvador (BH),3,263.41,790.23,11/14/2019
1125,10,Hotel BP,Brasilia (DF),4,247.62,990.48,12/26/2019
1133,10,Hotel BP,Brasilia (DF),4,247.62,990.48,02/20/2020
1136,10,Hotel K,Salvador (BH),2,263.41,526.82,03/12/2020
1139,10,Hotel BW,Campo Grande (MS),1,60.39,60.39,04/02/2020
1144,10,Hotel BW,Campo Grande (MS),3,60.39,181.17,05/07/2020
1150,10,Hotel K,Salvador (BH),1,263.41,263.41,06/18/2020
1151,10,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,06/25/2020
1157,10,Hotel BP,Brasilia (DF),3,247.62,742.86,08/06/2020
1160,10,Hotel K,Salvador (BH),3,263.41,790.23,08/27/2020
1162,10,Hotel BD,Natal (RN),1,242.88,242.88,09/10/2020
1164,10,Hotel BW,Campo Grande (MS),4,60.39,241.56,09/24/2020
1166,10,Hotel A,Florianopolis (SC),4,313.02,1252.08,10/08/2020
1167,10,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,10/15/2020
1173,10,Hotel A,Florianopolis (SC),4,313.02,1252.08,11/26/2020
1174,10,Hotel BP,Brasilia (DF),1,247.62,247.62,12/03/2020
1177,11,Hotel BW,Campo Grande (MS),2,60.39,120.78,10/03/2019
1180,11,Hotel A,Florianopolis (SC),2,313.02,626.04,10/24/2019
1183,11,Hotel BP,Brasilia (DF),4,247.62,990.48,11/14/2019
1184,11,Hotel K,Salvador (BH),4,263.41,1053.64,11/21/2019
1188,11,Hotel AF,Sao Paulo (SP),1,139.1,139.1,12/19/2019
1190,11,Hotel AF,Sao Paulo (SP),1,139.1,139.1,01/02/2020
1192,11,Hotel K,Salvador (BH),2,263.41,526.82,01/16/2020
1193,11,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,01/23/2020
1198,11,Hotel A,Florianopolis (SC),3,313.02,939.06,02/27/2020
1201,11,Hotel A,Florianopolis (SC),2,313.02,626.04,03/19/2020
1202,11,Hotel BW,Campo Grande (MS),2,60.39,120.78,03/26/2020
1204,11,Hotel BP,Brasilia (DF),1,247.62,247.62,04/09/2020
1209,11,Hotel AF,Sao Paulo (SP),2,139.1,278.2,05/14/2020
1213,11,Hotel BP,Brasilia (DF),1,247.62,247.62,06/11/2020
1220,11,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,07/30/2020
1222,11,Hotel A,Florianopolis (SC),2,313.02,626.04,08/13/2020
1226,11,Hotel BD,Natal (RN),3,242.88,728.64,09/10/2020
1227,11,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,09/17/2020
1238,11,Hotel BD,Natal (RN),4,242.88,971.52,12/03/2020
1250,11,Hotel BD,Natal (RN),1,242.88,242.88,02/25/2021
1252,11,Hotel Z,Aracaju (SE),2,208.04,416.08,03/11/2021
1255,11,Hotel AF,Sao Paulo (SP),1,139.1,139.1,04/01/2021
1257,11,Hotel BD,Natal (RN),3,242.88,728.64,04/15/2021
1262,11,Hotel AF,Sao Paulo (SP),4,139.1,556.4,05/20/2021
1263,11,Hotel K,Salvador (BH),4,263.41,1053.64,05/27/2021
1268,11,Hotel A,Florianopolis (SC),4,313.02,1252.08,07/01/2021
1270,11,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,07/15/2021
1271,11,Hotel AU,Recife (PE),3,312.83,938.49,07/22/2021
1274,11,Hotel A,Florianopolis (SC),2,313.02,626.04,08/12/2021
1276,11,Hotel A,Florianopolis (SC),1,313.02,313.02,08/26/2021
1278,11,Hotel Z,Aracaju (SE),3,208.04,624.12,09/09/2021
1280,11,Hotel BP,Brasilia (DF),3,247.62,742.86,09/23/2021
1281,11,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,09/30/2021
1282,11,Hotel BD,Natal (RN),4,242.88,971.52,10/07/2021
1283,11,Hotel AF,Sao Paulo (SP),2,139.1,278.2,10/14/2021
1289,11,Hotel AF,Sao Paulo (SP),1,139.1,139.1,11/25/2021
1290,11,Hotel Z,Aracaju (SE),3,208.04,624.12,12/02/2021
1292,11,Hotel K,Salvador (BH),2,263.41,526.82,12/16/2021
1294,11,Hotel K,Salvador (BH),4,263.41,1053.64,12/30/2021
1299,11,Hotel BD,Natal (RN),1,242.88,242.88,02/03/2022
